"AgtId","variable","value","Con","Contp","PP","PPName","Reg","Agt","Dat","Status","Agtp","Stage","StageSub","third_parties"
1,"Med",1,"Angola","Government",4,"Angola: UNITA process","Africa (excl MENA)","Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998","1998-01-09","Multiparty signed/agreed","Intra","Imp","ImpMod",0
1,"Polps",1,"Angola","Government",4,"Angola: UNITA process","Africa (excl MENA)","Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998","1998-01-09","Multiparty signed/agreed","Intra","Imp","ImpMod",0
1,"SsrPsf",1,"Angola","Government",4,"Angola: UNITA process","Africa (excl MENA)","Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998","1998-01-09","Multiparty signed/agreed","Intra","Imp","ImpMod",0
2,"GRef",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"SsrArm",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"GeWom",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"SsrPol",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"LaEn",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"HrMob",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"SsrPsf",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Polps",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Ele",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Mps",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Terps",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Med",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Pubad",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"GeMe",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"GCh",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"StDef",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"ConRen",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
2,"Pol",1,"Bosnia and Herzegovina/Yugoslavia (former)","Government/territory",140,"Bosnia peace process","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",1
3,"ConRen",1,"Central African Republic","Government",16,"CAR: Bangui process","Africa (excl MENA)","Declaration of Heads of State, Bangui (Bangui Accords)","1997-01-25","Multiparty signed/agreed","InterIntra","Ren","Repre",0
3,"Civso",1,"Central African Republic","Government",16,"CAR: Bangui process","Africa (excl MENA)","Declaration of Heads of State, Bangui (Bangui Accords)","1997-01-25","Multiparty signed/agreed","InterIntra","Ren","Repre",0
3,"SsrPsf",1,"Central African Republic","Government",16,"CAR: Bangui process","Africa (excl MENA)","Declaration of Heads of State, Bangui (Bangui Accords)","1997-01-25","Multiparty signed/agreed","InterIntra","Ren","Repre",0
4,"StDef",1,"(East Timor)","Government/territory",63,"East Timor-Indonesia peace process","Asia and Pacific","UN Security Council Resolution 1236","1999-05-07","Unilateral document","InterIntra","Imp","ImpOth",0
5,"GRef",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"SsrDdr",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"Civso",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"SsrPol",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"HrMob",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"HrGen",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"Dev",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"Terr",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"SsrPsf",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"HrDem",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
5,"StDef",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",0
6,"SsrPsf",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",1
6,"Terps",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",1
6,"Civso",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",1
6,"HrMob",1,"Kosovo/Serbia/Yugoslavia (former)","Government/territory",149,"Kosovo process","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",1
