"AgtId","name","Order","country","latitude","longitude","Contp","Reg","Agt","Dat","Status","Agtp","Stage","StageSub","CowWar"
1,"Angola","1","AO",-11.202692,17.873887,"Government","Africa (excl MENA)","Final Timetable for the Implementation of the Lusaka Protocol, Approved by the Joint Commission at Luanda, 9 January 1998","1998-01-09","Multiparty signed/agreed","Intra","Imp","ImpMod",907
2,"Bosnia and Herzegovina","1","BA",43.915886,17.679076,"Government/territory","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",215
2,"Yugoslavia (former)","2","RS",44.016521,21.005859,"Government/territory","Europe and Eurasia","Dayton Agreement on Implementing the Federation of Bosnia and Herzegovina, Dayton","1995-11-10","Multiparty signed/agreed","Intra","Imp","ImpMod",215
3,"Central African Republic","1","CF",6.611111,20.939444,"Government","Africa (excl MENA)","Declaration of Heads of State, Bangui (Bangui Accords)","1997-01-25","Multiparty signed/agreed","InterIntra","Ren","Repre",NA
4,"(East Timor)","1","TL",-8.874217,125.727539,"Government/territory","Asia and Pacific","UN Security Council Resolution 1236","1999-05-07","Unilateral document","InterIntra","Imp","ImpOth",NA
5,"Yugoslavia (former)","3","RS",44.016521,21.005859,"Government/territory","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",NA
5,"Kosovo","1","XK",42.602636,20.902977,"Government/territory","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",NA
5,"Serbia","2","RS",44.016521,21.005859,"Government/territory","Europe and Eurasia","UN Security Council Resolution 1244","1999-06-10","Unilateral document","InterIntra","SubPar","Iss",NA
6,"Serbia","2","RS",44.016521,21.005859,"Government/territory","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",NA
6,"Yugoslavia (former)","3","RS",44.016521,21.005859,"Government/territory","Europe and Eurasia","Kosovo Peace Plan","1999-06-03","Unilateral document","Intra","Pre","Prin",NA
